date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:51:47	27249/27249	---M-Z	200	added ('OK')	text/css	etag:%226a71-5ff0445332ec3-gzip%22	https://accessories-shop.cmsmasters.net/wp-content/plugins/cookie-law-info/legacy/public/css/cookie-law-info-gdpr.css?ver=3.0.9	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/plugins/cookie-law-info/legacy/public/css/cookie-law-info-gdpr677a.css	(from https://accessories-shop.cmsmasters.net/landing/)
11:51:47	4358/4358	---M-Z	200	added ('OK')	text/css	etag:%221106-576cd2c3b2480-gzip%22	https://accessories-shop.cmsmasters.net/wp-content/plugins/yith-woocommerce-ajax-search-premium/assets/css/yith_wcas_ajax_search.css?ver=6.2.2	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/plugins/yith-woocommerce-ajax-search-premium/assets/css/yith_wcas_ajax_search3781.css	(from https://accessories-shop.cmsmasters.net/landing/)
11:51:48	3611/3611	---M-Z	200	added ('OK')	text/css	etag:%22e1b-5ff0459aaf35b-gzip%22	https://accessories-shop.cmsmasters.net/wp-content/plugins/yith-woocommerce-quick-view/assets/css/yith-quick-view.css?ver=1.28.1	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/plugins/yith-woocommerce-quick-view/assets/css/yith-quick-view8915.css	(from https://accessories-shop.cmsmasters.net/landing/)
11:51:48	6545/6545	---M-Z	200	added ('OK')	text/css	etag:%221991-5ff043c4c44df-gzip%22	https://accessories-shop.cmsmasters.net/wp-content/themes/accessories-shop/style.css?ver=1.0.0	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/themes/accessories-shop/style8a54.css	(from https://accessories-shop.cmsmasters.net/landing/)
11:51:48	275658/275658	---M-Z	200	added ('OK')	text/css	etag:%22434ca-5ff043c4d9c9e-gzip%22	https://accessories-shop.cmsmasters.net/wp-content/themes/accessories-shop/css/style.css?ver=1.0.0	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/themes/accessories-shop/css/style8a54.css	(from https://accessories-shop.cmsmasters.net/landing/)
11:51:49	42000/42000	---M-Z	200	added ('OK')	text/css	etag:%22a410-5ff043c4d9c9e-gzip%22	https://accessories-shop.cmsmasters.net/wp-content/themes/accessories-shop/css/adaptive.css?ver=1.0.0	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/themes/accessories-shop/css/adaptive8a54.css	(from https://accessories-shop.cmsmasters.net/landing/)
11:51:49	851/851	---M-Z	200	added ('OK')	text/css	etag:%22353-5ff043c4d9c9e-gzip%22	https://accessories-shop.cmsmasters.net/wp-content/themes/accessories-shop/css/retina.css?ver=1.0.0	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/themes/accessories-shop/css/retina8a54.css	(from https://accessories-shop.cmsmasters.net/landing/)
11:51:50	169057/169057	---M--	200	added ('OK')	image/jpeg	etag:%2229461-54802e626f300%22	https://accessories-shop.cmsmasters.net/wp-content/uploads/2017/02/Perspective-App-Screens-Mock-Up.jpg	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/uploads/2017/02/Perspective-App-Screens-Mock-Up.jpg	(from https://accessories-shop.cmsmasters.net/landing/)
11:51:50	222361/222361	---M--	200	added ('OK')	image/jpeg	etag:%2236499-547a1306845c0%22	https://accessories-shop.cmsmasters.net/wp-content/uploads/2017/02/landing-1-2.jpg	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/uploads/2017/02/landing-1-2.jpg	(from https://accessories-shop.cmsmasters.net/landing/)
11:51:52	50273/50273	---M--	200	added ('OK')	image/jpeg	etag:%22c461-547f083b5b4c0%22	https://accessories-shop.cmsmasters.net/wp-content/uploads/2017/02/view-3.jpg	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/uploads/2017/02/view-3.jpg	(from https://accessories-shop.cmsmasters.net/landing/)
